央视,#genre#
CCTV-7高清测试[1920*1080],http://116.4.96.235:4080/udp/239.77.0.138:5146
CCTV-7高清测试[1920*1080],http://116.21.126.41:7777/udp/239.77.0.138:5146
CCTV-7高清测试[1920*1080],http://121.32.204.88:9999/udp/239.77.0.138:5146
CCTV-7高清测试[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.138:5146
CCTV-7高清测试[1920*1080],http://119.129.238.239:10000/udp/239.77.0.138:5146
CCTV-8高清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.172:5146
CCTV-8高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.172:5146
CCTV-8超清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.181:5146
CCTV-8超清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.181:5146
CCTV-9高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.168:5146
CCTV-9高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.160:5146
CCTV-9高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.160:5146
CCTV-9高清测试[1920*1080],http://113.100.72.213:8899/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://113.67.165.237:8888/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://113.116.43.148:5000/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://116.4.96.235:4080/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://116.21.126.41:7777/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://121.32.204.88:9999/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://119.129.238.239:10000/udp/239.77.0.135:5146
CCTV-9高清测试[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.135:5146
CCTV-10高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.113:5146
CCTV-10高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.169:5146
CCTV-10高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.113:5146
CCTV-10高清测试[1920*1080],http://113.100.72.213:8899/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://113.67.165.237:8888/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://113.116.43.148:5000/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://116.4.96.235:4080/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://116.21.126.41:7777/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://121.32.204.88:9999/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://119.129.238.239:10000/udp/239.77.0.134:5146
CCTV-10高清测试[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.134:5146
CCTV-11高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.238:5146
CCTV-11高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.238:5146
CCTV-12高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://113.66.41.135:10000/udp/239.77.1.170:5146
CCTV-12高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.109:5146
CCTV-12高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.170:5146
CCTV-12高清测试[1920*1080],http://113.100.72.213:8899/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://113.67.165.237:8888/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://113.116.43.148:5000/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://116.4.96.235:4080/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://116.21.126.41:7777/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://121.32.204.88:9999/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://119.129.238.239:10000/udp/239.77.0.136:5146
CCTV-12高清测试[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.136:5146
CCTV-13高清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://113.100.72.213:8899/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://113.67.165.237:8888/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://113.116.43.148:5000/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://116.4.96.235:4080/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://116.21.126.41:7777/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://121.32.204.88:9999/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://119.129.238.239:10000/udp/239.253.43.196:5146
CCTV-13高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.188:5146
CCTV-13高清[1920*1080],http://jt.zorua.cn:8787/udp/239.253.43.196:5146
CCTV-14高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://113.66.41.135:10000/udp/239.77.1.171:5146
CCTV-14高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.161:5146
CCTV-14高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.171:5146
CCTV-14高清测试[1920*1080],http://113.100.72.213:8899/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://113.67.165.237:8888/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://113.116.43.148:5000/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://116.4.96.235:4080/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://116.21.126.41:7777/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://121.32.204.88:9999/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://119.129.238.239:10000/udp/239.77.0.133:5146
CCTV-14高清测试[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.133:5146
CCTV-15高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.239:5146
CCTV-15高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.239:5146
CCTV-16高清[1920*1080],http://113.100.72.213:8899/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://113.100.72.213:8899/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://113.67.165.237:8888/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://113.67.165.237:8888/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://113.116.43.148:5000/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://113.116.43.148:5000/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://116.4.96.235:4080/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://116.4.96.235:4080/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://116.21.126.41:7777/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://116.21.126.41:7777/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://121.32.204.88:9999/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://121.32.204.88:9999/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://119.129.238.239:10000/udp/239.77.0.165:5146
CCTV-16高清[1920*1080],http://119.129.238.239:10000/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.1.76:5146
CCTV-16高清[1920*1080],http://jt.zorua.cn:8787/udp/239.77.0.165:5146
CCTV-16 4K[3840*2160],http://113.100.72.213:8899/udp/239.77.1.98:5146
CCTV-16 4K[3840*2160],http://113.67.165.237:8888/udp/239.77.1.98:5146
